Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,State,Day,Month,Year,RainfallTomorrow
Witchcliffe,8.4,16.3,14.2,WSW,72.0,NW,W,24.0,28.0,84.0,72.0,1010.5,1007.7,13.7,14.0,Yes,Yes,-34.026,115.1,Western Australia,20,6,2009,14.2
CoffsHarbour,13.1,22.8,0.6,E,37.0,WSW,WSW,19.0,13.0,80.0,89.0,1014.0,1012.4,16.6,17.9,No,Yes,-30.3022,153.1189,New South Wales,7,12,2011,42.6
Launceston,3.7,15.1,0.0,SSE,11.0,E,N,7.0,6.0,88.0,48.0,1017.4,1015.0,5.4,14.1,No,No,-41.4419,147.145,Tasmania,30,5,2014,0.0
SydneyAirport,6.7,18.1,0.0,NNE,26.0,NW,NE,15.0,17.0,64.0,49.0,1019.5,1016.6,10.1,17.0,No,No,-33.865,151.2094,New South Wales,10,8,2009,0.0
SalmonGums,13.6,19.1,0.4,SSW,41.0,S,S,20.0,24.0,46.0,50.0,1017.4,1015.0,17.4,16.9,No,No,-32.9747,121.638,Western Australia,5,4,2016,0.0
AliceSprings,1.6,21.0,0.0,S,33.0,NNE,WSW,7.0,20.0,48.0,18.0,1019.1,1016.2,12.1,19.4,No,No,-23.7,133.8667,Northern Territory,25,8,2016,0.0
SydneyAirport,8.3,16.4,0.0,S,56.0,WNW,SW,17.0,28.0,57.0,56.0,1009.5,1008.4,12.7,16.3,No,No,-33.865,151.2094,New South Wales,17,6,2013,0.0
PerthAirport,7.0,19.5,0.0,ENE,26.0,NE,S,11.0,11.0,90.0,55.0,1030.6,1029.7,11.4,18.5,No,No,-31.9522,115.8589,Western Australia,31,7,2010,0.0
PerthAirport,6.0,21.3,0.0,NE,37.0,S,E,7.0,17.0,57.0,37.0,1023.0,1019.9,14.4,20.8,No,No,-31.9522,115.8589,Western Australia,1,6,2016,0.0
Adelaide,14.1,28.3,0.0,ESE,44.0,WSW,SW,11.0,13.0,48.0,26.0,1009.8,1006.1,18.4,26.7,No,No,-34.9289,138.6011,South Australia,24,11,2008,0.0
Hobart,9.7,15.1,0.2,NW,52.0,NNW,SW,20.0,28.0,60.0,67.0,1012.3,1012.4,12.8,11.3,No,Yes,-42.8806,147.325,Tasmania,24,10,2009,1.2
Uluru,5.8,27.3,0.0,SE,22.0,SE,NNE,15.0,7.0,34.0,18.0,1022.6,1018.3,13.9,26.0,No,No,-25.344,131.035,Northern Territory,16,8,2016,0.0
Hobart,16.8,25.2,2.4,ESE,28.0,SSW,SE,13.0,15.0,89.0,65.0,1006.0,1005.3,19.9,24.0,Yes,No,-42.8806,147.325,Tasmania,1,2,2016,0.2
CoffsHarbour,18.4,28.1,5.2,NNE,44.0,N,NE,9.0,31.0,75.0,62.0,1019.5,1016.8,24.1,27.5,Yes,No,-30.3022,153.1189,New South Wales,21,2,2010,0.0
PearceRAAF,8.4,15.6,19.4,WSW,50.0,S,SSW,9.0,19.0,86.0,50.0,1021.4,1022.2,11.4,15.3,Yes,No,-31.6722,116.0318,Western Australia,22,6,2015,0.0
Darwin,25.3,33.5,0.0,N,31.0,NE,NNW,13.0,22.0,66.0,55.0,1013.4,1009.7,29.5,32.7,No,No,-12.4381,130.8411,Northern Territory,9,10,2008,0.0
Albury,8.6,12.3,8.8,WNW,44.0,NW,WNW,22.0,19.0,94.0,94.0,1011.6,1011.9,10.1,11.4,Yes,Yes,-36.0806,146.9158,New South Wales,23,8,2013,4.2
Darwin,25.0,35.0,0.0,ENE,50.0,SE,NW,9.0,19.0,70.0,50.0,1012.7,1009.9,28.2,33.5,No,Yes,-12.4381,130.8411,Northern Territory,9,3,2010,5.8
Ballarat,9.4,18.8,0.0,SE,41.0,SSE,ESE,20.0,20.0,75.0,43.0,1019.7,1018.9,11.1,18.3,No,No,-37.55,143.85,Victoria,20,3,2016,0.2
Mildura,4.2,19.5,0.0,W,31.0,WNW,W,13.0,17.0,64.0,37.0,1019.3,1015.9,9.9,18.6,No,No,-34.1889,142.1583,Victoria,4,8,2012,0.0
Williamtown,6.6,20.5,0.2,SE,26.0,NW,ESE,13.0,15.0,81.0,65.0,1023.4,1021.0,12.8,19.3,No,No,-32.80899676,151.8389966,New South Wales,17,5,2017,0.0
Nuriootpa,6.5,15.5,0.6,W,50.0,WNW,WNW,20.0,20.0,92.0,79.0,1019.2,1017.2,12.4,14.6,No,Yes,-34.4667,138.9833,South Australia,14,5,2009,1.4
SalmonGums,11.5,23.6,0.0,NNW,33.0,NW,NNW,11.0,17.0,56.0,73.0,1017.4,1015.0,20.1,19.0,No,Yes,-32.9747,121.638,Western Australia,6,12,2010,1.6
Watsonia,13.7,24.8,0.8,N,46.0,N,N,20.0,24.0,68.0,51.0,1012.2,1011.9,17.0,22.8,No,No,-37.711,145.083,Victoria,17,3,2014,0.0
BadgerysCreek,13.0,24.5,0.0,ENE,28.0,S,ESE,11.0,17.0,66.0,53.0,1019.9,1018.1,19.2,24.2,No,No,-37.7,145.5167,Victoria,3,3,2010,0.0
WaggaWagga,13.5,29.3,0.0,ENE,30.0,E,SW,17.0,9.0,61.0,40.0,1014.0,1012.0,20.6,28.5,No,No,-35.1189,147.3689,New South Wales,29,12,2011,0.0
MountGambier,5.4,20.5,0.0,NNE,48.0,NNE,NNE,28.0,33.0,60.0,32.0,1025.8,1020.6,13.5,20.4,No,No,-37.8294,140.7828,South Australia,7,9,2014,0.0
Penrith,17.1,28.3,0.0,WNW,63.0,NNW,WSW,6.0,35.0,37.0,29.0,1017.4,1015.0,24.3,26.6,No,No,-33.7511,150.6942,New South Wales,11,1,2012,0.0
PerthAirport,8.9,20.2,1.0,SW,33.0,NNE,WSW,4.0,19.0,64.0,46.0,1019.4,1018.6,16.1,19.3,No,No,-31.9522,115.8589,Western Australia,1,9,2012,0.0
Brisbane,22.0,27.7,0.0,E,28.0,E,E,17.0,13.0,55.0,54.0,1018.2,1015.8,26.2,27.5,No,No,-27.4678,153.0281,Queensland,23,12,2016,0.0
NorfolkIsland,22.2,25.6,0.0,NNE,52.0,NNE,NE,20.0,22.0,92.0,86.0,1014.2,1014.6,23.2,24.3,No,No,-29.0257,167.9416,Tasmania,21,12,2010,0.0
Nuriootpa,24.4,28.4,0.0,SE,54.0,SE,SSE,15.0,24.0,44.0,39.0,1009.8,1012.6,26.0,26.9,No,No,-34.4667,138.9833,South Australia,3,2,2014,0.0
Bendigo,4.0,14.6,0.2,SSW,39.0,SW,SW,6.0,20.0,90.0,71.0,1025.7,1024.5,9.9,14.2,No,No,-36.75,144.2667,Victoria,3,6,2013,0.0
Woomera,9.0,25.1,0.0,SE,30.0,SE,SSW,20.0,9.0,50.0,15.0,1021.7,1017.3,14.4,22.8,No,No,-31.2,136.81,South Australia,11,10,2013,0.0
Cairns,18.1,26.7,0.0,SSE,41.0,SSE,SE,19.0,24.0,70.0,50.0,1020.7,1017.3,21.8,25.0,No,No,-16.9303,145.7703,Queensland,9,7,2011,0.0
Witchcliffe,15.9,23.0,0.0,SSE,54.0,SE,SSE,19.0,28.0,58.0,55.0,1025.9,1022.6,19.8,22.1,No,No,-34.026,115.1,Western Australia,20,3,2014,0.0
Woomera,14.3,33.5,0.0,SSE,48.0,SSE,SE,31.0,20.0,32.0,3.0,1014.9,1012.5,18.2,30.7,No,No,-31.2,136.81,South Australia,29,12,2013,0.0
PearceRAAF,5.5,24.8,0.0,SW,39.0,SE,S,13.0,31.0,42.0,34.0,1021.8,1018.7,17.2,23.0,No,No,-31.6722,116.0318,Western Australia,27,11,2009,0.0
GoldCoast,20.3,25.5,29.6,N,61.0,SE,NNW,13.0,2.0,94.0,91.0,1006.1,1004.5,22.7,20.7,Yes,Yes,-28.0167,153.4,Queensland,6,1,2011,37.0
Townsville,18.2,30.7,0.0,SSE,33.0,SSW,ENE,4.0,22.0,64.0,59.0,1013.8,1011.3,26.6,30.0,No,Yes,-19.2564,146.8183,Queensland,2,4,2017,1.4
Perth,18.0,25.1,0.0,SSW,39.0,SSW,SSW,9.0,19.0,51.0,34.0,1007.5,1008.2,21.5,24.7,No,No,-31.9522,115.8589,Western Australia,14,1,2011,0.0
Launceston,14.6,23.1,0.0,NW,39.0,NNW,N,17.0,20.0,67.0,42.0,1017.4,1015.0,16.8,21.7,No,No,-41.4419,147.145,Tasmania,13,12,2014,0.0
Ballarat,2.2,12.2,2.8,NNW,44.0,N,NNW,19.0,28.0,98.0,71.0,1019.9,1017.4,6.7,11.0,Yes,No,-37.55,143.85,Victoria,5,8,2009,0.0
Woomera,4.6,15.7,0.0,WSW,41.0,WSW,SW,24.0,26.0,99.0,45.0,1027.3,1024.2,8.5,14.9,No,No,-31.2,136.81,South Australia,13,7,2015,0.0
SydneyAirport,21.4,26.2,0.2,S,44.0,S,SSE,13.0,26.0,83.0,80.0,1009.4,1008.2,22.8,23.4,No,Yes,-33.865,151.2094,New South Wales,20,1,2014,2.2
MountGambier,6.6,17.6,0.4,N,43.0,N,N,17.0,22.0,80.0,50.0,1028.7,1025.1,11.3,17.2,No,No,-37.8294,140.7828,South Australia,15,8,2016,0.2
PearceRAAF,16.6,28.9,0.0,WSW,46.0,SE,WSW,24.0,28.0,52.0,38.0,1017.7,1014.5,20.2,27.1,No,No,-31.6722,116.0318,Western Australia,4,3,2010,0.0
Nhil,16.3,21.0,0.0,ENE,31.0,NE,E,19.0,19.0,44.0,93.0,1022.5,1020.5,19.6,15.9,No,Yes,-36.3333,141.65,Victoria,20,4,2017,22.6
Witchcliffe,13.4,18.3,2.4,S,39.0,S,SSE,13.0,15.0,83.0,71.0,1026.0,1025.2,15.4,16.9,Yes,No,-34.026,115.1,Western Australia,29,5,2014,0.0
AliceSprings,12.9,30.0,0.0,E,48.0,E,E,30.0,22.0,25.0,9.0,1021.7,1016.4,21.4,29.7,No,No,-23.7,133.8667,Northern Territory,17,10,2011,0.0
Walpole,7.8,17.3,5.4,S,31.0,SSE,S,15.0,13.0,56.0,59.0,1023.9,1023.5,13.3,16.4,Yes,No,-34.97,116.728,Western Australia,19,10,2011,0.2
MountGinini,3.3,13.5,0.0,SW,35.0,SW,WSW,24.0,11.0,39.0,40.0,1017.4,1015.0,7.9,13.3,No,No,-35.5333,148.7833,New South Wales,2,5,2010,0.0
Perth,19.9,33.7,0.0,WSW,24.0,S,WSW,7.0,11.0,67.0,39.0,1018.3,1017.3,26.0,32.5,No,No,-31.9522,115.8589,Western Australia,9,2,2015,0.0
Woomera,3.6,18.6,0.0,N,41.0,NNE,N,20.0,24.0,50.0,23.0,1025.4,1020.2,10.9,18.1,No,No,-31.2,136.81,South Australia,8,8,2015,0.0
Cobar,20.6,32.4,0.0,SW,57.0,SW,WSW,20.0,31.0,21.0,20.0,1010.5,1010.9,27.3,28.7,No,No,-31.4997,145.8319,New South Wales,11,12,2015,0.0
AliceSprings,23.5,39.3,0.0,ENE,50.0,ENE,ESE,28.0,17.0,32.0,16.0,1009.3,1005.3,28.8,38.1,No,No,-23.7,133.8667,Northern Territory,2,3,2015,0.0
Watsonia,-0.2,15.2,0.4,NE,30.0,ENE,NE,9.0,11.0,99.0,55.0,1030.0,1024.8,2.7,14.3,No,No,-37.711,145.083,Victoria,16,7,2011,0.0
PerthAirport,10.2,31.0,0.0,ENE,33.0,WSW,W,9.0,24.0,34.0,23.0,1014.0,1010.2,23.9,29.5,No,No,-31.9522,115.8589,Western Australia,16,11,2014,0.0
Tuggeranong,9.2,22.9,0.0,WSW,41.0,NW,WNW,11.0,13.0,37.0,25.0,1016.5,1015.2,13.6,21.0,No,No,-35.4244,149.088,New South Wales,17,10,2012,0.0
Penrith,10.2,25.4,0.0,WNW,33.0,WNW,WSW,7.0,9.0,50.0,34.0,1017.4,1015.0,16.2,25.0,No,No,-33.7511,150.6942,New South Wales,24,3,2012,0.0
GoldCoast,15.3,23.7,0.0,SSE,44.0,W,E,9.0,15.0,68.0,62.0,1020.0,1016.9,20.7,22.8,No,Yes,-28.0167,153.4,Queensland,29,5,2009,7.4
Uluru,6.0,22.1,0.0,E,28.0,ESE,E,13.0,11.0,67.0,35.0,1024.0,1019.5,10.3,21.0,No,No,-25.344,131.035,Northern Territory,12,6,2015,0.0
Canberra,-2.8,16.8,0.0,NNW,31.0,NW,NNW,4.0,19.0,89.0,38.0,1017.7,1011.3,4.5,16.4,No,Yes,-35.2931,149.1269,Australian Capital Territory,2,9,2015,7.6
SydneyAirport,20.9,24.3,0.0,SSW,67.0,SSW,S,26.0,22.0,88.0,84.0,1014.0,1012.5,21.4,22.7,No,No,-33.865,151.2094,New South Wales,28,3,2017,0.0
SalmonGums,8.2,15.2,0.0,WNW,48.0,WSW,SSW,22.0,20.0,60.0,60.0,1017.4,1015.0,11.0,13.9,No,No,-32.9747,121.638,Western Australia,8,9,2016,0.2
Wollongong,21.3,22.9,12.2,ESE,63.0,NNE,ESE,24.0,39.0,93.0,96.0,1013.9,1010.9,21.8,22.2,Yes,Yes,-34.4331,150.8831,New South Wales,16,3,2017,75.2
Perth,6.6,23.9,0.0,NE,19.0,NE,N,7.0,6.0,78.0,43.0,1023.8,1020.1,13.7,23.0,No,No,-31.9522,115.8589,Western Australia,16,8,2014,0.0
Hobart,10.2,14.8,0.0,ENE,26.0,WSW,ESE,6.0,9.0,74.0,82.0,1024.1,1020.7,12.5,13.6,No,Yes,-42.8806,147.325,Tasmania,20,5,2017,5.2
Tuggeranong,13.4,21.9,0.0,E,44.0,S,E,19.0,28.0,73.0,43.0,1018.5,1017.1,15.7,20.7,No,No,-35.4244,149.088,New South Wales,16,2,2009,0.0
Canberra,4.4,21.8,0.0,S,35.0,SSE,SSE,15.0,15.0,60.0,31.0,1020.8,1019.3,11.7,20.0,No,No,-35.2931,149.1269,Australian Capital Territory,1,3,2008,0.0
WaggaWagga,0.2,18.1,0.0,SSE,59.0,ESE,WSW,9.0,9.0,77.0,34.0,1017.4,1015.3,7.6,16.7,No,No,-35.1189,147.3689,New South Wales,9,5,2011,0.0
Witchcliffe,6.7,17.7,0.0,NNE,46.0,ENE,NNE,7.0,22.0,83.0,73.0,1020.7,1015.9,10.7,17.6,No,Yes,-34.026,115.1,Western Australia,31,5,2014,11.0
Darwin,22.4,31.4,0.0,SE,50.0,SE,ESE,31.0,26.0,40.0,27.0,1012.9,1009.3,24.1,31.0,No,No,-12.4381,130.8411,Northern Territory,8,6,2014,0.0
Williamtown,14.0,19.2,16.8,SE,76.0,ESE,ESE,35.0,43.0,83.0,65.0,1018.5,1016.6,15.5,17.7,Yes,Yes,-32.80899676,151.8389966,New South Wales,14,6,2011,13.4
Portland,13.8,17.2,9.0,SW,54.0,SW,WSW,26.0,26.0,96.0,87.0,1006.2,1009.1,14.2,15.4,Yes,Yes,-38.3333,141.6,Victoria,24,3,2011,1.8
Townsville,16.0,29.1,0.0,NE,28.0,NNE,N,17.0,15.0,61.0,51.0,1017.0,1012.4,25.8,28.1,No,No,-19.2564,146.8183,Queensland,22,9,2012,0.0
MelbourneAirport,12.3,23.6,1.6,SE,39.0,SW,SE,26.0,17.0,63.0,43.0,1009.0,1007.5,15.6,22.9,Yes,No,-37.8136,144.9631,Victoria,2,1,2014,0.0
NorahHead,19.7,24.2,0.4,ENE,35.0,NE,NE,24.0,17.0,71.0,68.0,1022.8,1020.7,21.8,23.7,No,No,-33.281,151.5791,New South Wales,23,1,2014,0.2
AliceSprings,-1.0,23.6,0.0,NE,26.0,SW,SE,2.0,11.0,58.0,12.0,1024.7,1019.7,7.4,23.1,No,No,-23.7,133.8667,Northern Territory,25,6,2011,0.0
Portland,15.5,20.9,0.0,SE,43.0,SE,SE,20.0,24.0,67.0,63.0,1019.5,1018.3,16.6,20.1,No,No,-38.3333,141.6,Victoria,6,3,2017,0.0
GoldCoast,19.9,26.4,0.0,NNE,37.0,NE,NE,13.0,30.0,55.0,63.0,1021.3,1017.2,24.8,24.1,No,No,-28.0167,153.4,Queensland,30,9,2013,0.0
Melbourne,19.6,23.5,23.0,N,35.0,N,SE,20.0,19.0,89.0,76.0,1016.0,1016.6,19.8,19.9,Yes,Yes,-37.8136,144.9631,Victoria,25,11,2010,1.8
Townsville,21.4,28.8,2.6,NNE,26.0,SW,WNW,7.0,6.0,87.0,61.0,1014.4,1010.1,23.2,28.7,Yes,No,-19.2564,146.8183,Queensland,23,5,2011,0.0
Uluru,17.4,38.2,0.0,W,37.0,NE,W,9.0,24.0,9.0,8.0,1013.9,1009.0,27.0,36.6,No,No,-25.344,131.035,Northern Territory,14,11,2013,0.0
Wollongong,14.8,20.5,0.0,SE,39.0,S,SE,24.0,24.0,76.0,72.0,1016.3,1015.5,18.3,18.6,No,Yes,-34.4331,150.8831,New South Wales,15,11,2013,34.8
SalmonGums,2.7,20.6,0.0,NE,26.0,NNE,N,13.0,9.0,53.0,37.0,1017.4,1015.0,13.7,20.0,No,No,-32.9747,121.638,Western Australia,31,5,2009,0.0
Penrith,8.7,18.9,0.0,SSE,26.0,S,S,6.0,15.0,94.0,52.0,1017.4,1015.0,12.0,18.6,No,No,-33.7511,150.6942,New South Wales,14,8,2011,0.0
WaggaWagga,12.5,25.2,0.0,S,52.0,WSW,SW,20.0,20.0,57.0,28.0,1015.0,1012.8,15.7,25.2,No,No,-35.1189,147.3689,New South Wales,4,12,2011,0.0
Portland,10.4,29.6,0.0,NNW,48.0,N,N,26.0,20.0,41.0,25.0,1014.4,1010.9,19.8,28.9,No,No,-38.3333,141.6,Victoria,6,11,2013,0.2
Williamtown,9.2,22.6,0.0,ESE,35.0,WNW,E,15.0,26.0,28.0,29.0,1021.1,1017.0,18.4,20.5,No,No,-32.80899676,151.8389966,New South Wales,27,9,2013,0.0
Moree,16.2,36.0,0.0,SW,44.0,S,SSW,22.0,26.0,29.0,14.0,1010.3,1007.8,26.9,34.6,No,No,-29.465,149.8344,New South Wales,17,1,2015,0.0
Woomera,18.7,31.0,0.0,SSE,41.0,SSE,SW,19.0,9.0,68.0,54.0,1004.8,1002.5,21.4,29.2,No,No,-31.2,136.81,South Australia,12,1,2011,0.0
NorahHead,16.3,21.4,6.0,S,80.0,SSW,S,37.0,57.0,89.0,67.0,1018.5,1016.0,17.2,21.4,Yes,Yes,-33.281,151.5791,New South Wales,19,4,2009,14.0
Moree,22.7,34.4,5.4,SE,43.0,NE,ESE,22.0,9.0,69.0,46.0,1015.7,1012.8,27.0,33.3,Yes,No,-29.465,149.8344,New South Wales,26,1,2009,0.0
Melbourne,13.6,26.1,0.0,SE,33.0,SW,SSE,9.0,20.0,56.0,34.0,1011.9,1010.5,19.0,25.6,No,No,-37.8136,144.9631,Victoria,5,1,2009,0.0
CoffsHarbour,16.0,27.4,0.0,NE,33.0,NW,NE,13.0,24.0,64.0,64.0,1018.9,1016.1,24.2,26.1,No,No,-30.3022,153.1189,New South Wales,19,1,2016,0.0
BadgerysCreek,15.4,22.9,0.0,E,20.0,SW,ESE,7.0,11.0,89.0,72.0,1025.8,1021.9,18.6,21.0,No,No,-37.7,145.5167,Victoria,30,4,2013,0.0
Williamtown,12.2,22.2,0.0,SE,43.0,SE,ESE,17.0,30.0,56.0,49.0,1023.2,1021.5,20.0,21.5,No,No,-32.80899676,151.8389966,New South Wales,29,10,2015,0.0
Penrith,13.6,21.9,0.0,WNW,50.0,NNW,WNW,13.0,20.0,45.0,40.0,1017.4,1015.0,17.8,20.5,No,No,-33.7511,150.6942,New South Wales,11,5,2015,0.0
Mildura,7.9,13.0,0.0,S,30.0,SW,SSW,9.0,15.0,80.0,59.0,1024.6,1023.1,9.8,12.8,No,No,-34.1889,142.1583,Victoria,26,5,2011,0.0
Sale,6.2,15.7,0.0,ESE,26.0,WNW,E,19.0,13.0,80.0,42.0,1028.1,1027.6,9.6,14.7,No,No,-38.1,147.0667,Victoria,7,5,2014,0.0
Townsville,16.2,29.3,0.0,E,46.0,SW,ENE,9.0,31.0,51.0,52.0,1015.9,1012.5,24.1,27.7,No,No,-19.2564,146.8183,Queensland,8,5,2010,0.0
Townsville,15.8,26.9,0.0,NE,35.0,SSE,NE,17.0,26.0,43.0,34.0,1018.6,1014.9,22.9,25.5,No,No,-19.2564,146.8183,Queensland,15,5,2012,0.0
Sydney,13.2,23.8,0.0,W,26.0,W,ESE,13.0,17.0,72.0,55.0,1021.0,1018.7,16.5,22.0,No,No,-33.865,151.2094,New South Wales,15,4,2017,0.0
Bendigo,1.0,15.3,0.0,WNW,28.0,WSW,WSW,11.0,11.0,67.0,53.0,1026.1,1024.8,9.9,13.9,No,No,-36.75,144.2667,Victoria,31,8,2011,0.0
NorfolkIsland,18.8,23.8,0.0,ESE,33.0,E,SE,20.0,17.0,71.0,72.0,1012.2,1011.5,22.1,22.2,No,No,-29.0257,167.9416,Tasmania,15,2,2014,0.0
Melbourne,8.2,15.0,16.2,SW,70.0,SW,SSW,30.0,33.0,74.0,68.0,1010.2,1012.7,11.3,13.4,Yes,Yes,-37.8136,144.9631,Victoria,12,8,2010,1.8
Melbourne,24.5,40.2,0.0,N,70.0,N,NW,26.0,33.0,32.0,52.0,1003.2,1003.7,32.3,28.5,No,No,-37.8136,144.9631,Victoria,1,2,2011,0.0
CoffsHarbour,16.8,26.5,0.0,S,54.0,SW,S,28.0,33.0,57.0,53.0,1015.9,1015.2,21.5,25.8,No,No,-30.3022,153.1189,New South Wales,26,3,2011,0.0
Sale,10.9,32.9,0.0,ESE,43.0,WNW,NNW,11.0,9.0,78.0,27.0,1017.8,1014.5,17.8,31.6,No,No,-38.1,147.0667,Victoria,6,3,2013,0.0
Penrith,17.0,26.4,0.0,ESE,30.0,NE,ENE,2.0,15.0,63.0,40.0,1017.4,1015.0,19.6,24.9,No,No,-33.7511,150.6942,New South Wales,22,10,2009,0.0
Ballarat,4.3,13.5,0.0,SE,31.0,SSE,ESE,13.0,17.0,99.0,67.0,1031.1,1028.8,8.4,13.1,No,No,-37.55,143.85,Victoria,27,5,2013,0.2
WaggaWagga,2.7,20.7,0.0,SW,33.0,NNE,WSW,6.0,19.0,61.0,34.0,1027.6,1026.3,14.7,20.5,No,No,-35.1189,147.3689,New South Wales,1,10,2015,0.0
Watsonia,7.7,16.4,1.8,S,41.0,S,SW,19.0,22.0,64.0,52.0,1028.7,1029.4,11.8,14.4,Yes,No,-37.711,145.083,Victoria,4,11,2013,0.0
Woomera,25.8,38.7,0.0,NNE,44.0,NNE,NE,28.0,31.0,28.0,19.0,1011.5,1008.4,29.7,37.3,No,No,-31.2,136.81,South Australia,25,2,2012,0.0
Witchcliffe,12.5,27.2,0.0,E,48.0,E,E,22.0,24.0,48.0,36.0,1017.4,1015.0,19.1,25.5,No,No,-34.026,115.1,Western Australia,6,2,2011,0.0
Moree,16.7,33.8,0.0,E,44.0,E,ENE,22.0,17.0,46.0,19.0,1020.5,1016.4,22.7,31.8,No,No,-29.465,149.8344,New South Wales,10,3,2014,0.0
Albury,13.2,20.0,4.0,N,63.0,WNW,W,30.0,28.0,74.0,46.0,1012.1,1013.0,16.7,17.7,Yes,No,-36.0806,146.9158,New South Wales,1,5,2016,0.0
Perth,19.7,31.9,9.6,ESE,46.0,ENE,SE,11.0,9.0,56.0,90.0,1014.4,1015.1,25.6,22.6,Yes,Yes,-31.9522,115.8589,Western Australia,2,2,2015,11.8
Woomera,13.7,30.0,0.0,WSW,65.0,NE,NNW,9.0,37.0,63.0,26.0,1014.5,1008.9,19.2,29.1,No,No,-31.2,136.81,South Australia,30,4,2016,0.0
CoffsHarbour,13.5,19.3,2.2,WSW,35.0,SW,SE,11.0,13.0,90.0,65.0,1024.2,1021.7,14.6,18.6,Yes,Yes,-30.3022,153.1189,New South Wales,19,9,2015,7.6
Perth,15.3,29.0,0.0,E,39.0,E,SSW,13.0,17.0,57.0,47.0,1023.3,1019.4,20.4,25.4,No,No,-31.9522,115.8589,Western Australia,28,10,2013,0.0
AliceSprings,6.0,28.0,0.0,ENE,39.0,ENE,E,30.0,20.0,17.0,5.0,1020.2,1014.5,18.9,26.8,No,No,-23.7,133.8667,Northern Territory,4,10,2013,0.0
Nuriootpa,8.6,12.8,0.0,WNW,35.0,WNW,W,19.0,24.0,91.0,65.0,1029.2,1027.4,10.1,12.0,No,No,-34.4667,138.9833,South Australia,1,8,2009,0.0
Townsville,19.9,30.7,0.0,S,37.0,S,N,20.0,4.0,50.0,40.0,1014.1,1009.8,26.3,30.2,No,No,-19.2564,146.8183,Queensland,29,3,2012,0.0
Wollongong,11.5,16.6,10.2,S,35.0,SW,S,19.0,24.0,80.0,82.0,1021.8,1019.8,14.1,15.8,Yes,Yes,-34.4331,150.8831,New South Wales,13,6,2012,10.8
AliceSprings,9.5,22.4,0.0,ESE,26.0,N,ESE,2.0,11.0,51.0,44.0,1017.4,1013.9,17.3,22.1,No,No,-23.7,133.8667,Northern Territory,22,6,2016,0.0
Moree,20.8,32.9,0.0,NE,50.0,ENE,NE,26.0,22.0,48.0,37.0,1015.3,1011.5,23.1,30.5,No,No,-29.465,149.8344,New South Wales,15,1,2013,0.0
Wollongong,15.1,22.1,0.0,N,26.0,NNW,NE,4.0,17.0,72.0,71.0,1030.8,1027.3,20.9,21.2,No,No,-34.4331,150.8831,New South Wales,26,4,2016,0.0
Williamtown,14.0,33.6,0.0,SW,63.0,NW,S,19.0,19.0,59.0,54.0,1016.2,1013.5,22.9,26.7,No,Yes,-32.80899676,151.8389966,New South Wales,26,10,2015,9.2
